CRITERION_NAME,ALTERNATIVE,RANK,VALUE,CONFIDENCE
Construction Complexity,AP1000,3,,3
Construction Complexity,APR1400,4,,3
Construction Complexity,BWRX300,1,,3
Construction Complexity,EPR1750,5,,3
Construction Complexity,NuScaleVOYGR6,0,,3
Construction Complexity,RollsRoyceSMR,2,,3
Design Complexity,AP1000,3,,3
Design Complexity,APR1400,4,,3
Design Complexity,BWRX300,0,,3
Design Complexity,EPR1750,5,,3
Design Complexity,NuScaleVOYGR6,2,,3
Design Complexity,RollsRoyceSMR,1,,3
Design Maturity,AP1000,0,,3
Design Maturity,APR1400,0,,3
Design Maturity,BWRX300,3,,3
Design Maturity,EPR1750,2,,3
Design Maturity,NuScaleVOYGR6,4,,3
Design Maturity,RollsRoyceSMR,4,,3
Licensing Status,AP1000,1,,3
Licensing Status,APR1400,1,,3
Licensing Status,BWRX300,3,,3
Licensing Status,EPR1750,0,,3
Licensing Status,NuScaleVOYGR6,4,,3
Licensing Status,RollsRoyceSMR,4,,3
Supplier Availbility,AP1000,1,,3
Supplier Availbility,APR1400,4,,3
Supplier Availbility,BWRX300,0,,3
Supplier Availbility,EPR1750,1,,3
Supplier Availbility,NuScaleVOYGR6,5,,3
Supplier Availbility,RollsRoyceSMR,3,,3
