CRITERION_NAME,CONFIDENCE,LIST OF POINTS
Capital Investment Budgeted,2,4000.0:1.0;6000.0:0.75;8000.0:0.5;10000.0:0.25;14000.0:0.0
Construction Complexity,"3,3,3,3,3,3",0.0:0.0;0.143:0.143;0.286:0.286;0.429:0.429;0.571:0.571;0.714:0.714;0.857:0.857;1.0:1.0
Design Complexity,"3,3,3,3,3,3",0.0:0.0;0.143:0.143;0.286:0.286;0.429:0.429;0.571:0.571;0.714:0.714;0.857:0.857;1.0:1.0
Design Maturity,"3,3,3,3",0.0:0.0;0.2:0.2;0.4:0.4;0.6:0.6;0.8:0.8;1.0:1.0
Discharge Burnup,3,46.5:0.0;55.0:1.0
Electricity Market Benefit,3,24.0:0.0;49.0:1.0
GHGe Benefit,3,0.53:0.0;2.9:1.0
Licensing Status,"3,3,3,3",0.0:0.0;0.2:0.2;0.4:0.4;0.6:0.6;0.8:0.8;1.0:1.0
Load following Capabilities,2,1.0:0.0;4.25:1.0
Net Power Output,2,300.0:0.0;1000.0:1.0
Nuclear Waste,2,5.88:1.0;10.0:0.5;27.71:0.0
Operative + Fuel Costs,2,20.0:1.0;22.0:0.5;24.0:0.25;30.0:0.0
Percived Safety,3,0.0:0.0;1.0:0.75;2.0:1.0
Supplier Availbility,"3,3,3,3,3",0.0:0.0;0.167:0.167;0.333:0.333;0.5:0.5;0.667:0.667;0.833:0.833;1.0:1.0
Thermal Efficiency,3,30.8:0.0;36.17:1.0
